formula,AIC,BIC
correct_answer ~ (1|participant_id),5620.433768,5633.622077
correct_answer ~ (1|shown_letter),5693.091209,5706.279518
correct_answer ~ (1|participant_id) + (1|shown_letter),5619.538822,5639.321285
correct_answer ~ (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),5620.764996,5647.141613
correct_answer ~ TMS_Type + (1|participant_id),5622.363103,5642.145566
correct_answer ~ TMS_Type + (1|shown_letter),5695.002005,5714.784467
correct_answer ~ TMS_Type + (1|participant_id) + (1|shown_letter),5621.440081,5647.816698
correct_answer ~ TMS_Type + (1|participant_id) + (1|participant_id:TMS_Type),5612.778601,5639.155218
correct_answer ~ TMS_Type + (1|shown_letter) + (1|shown_letter:TMS_Type),5696.853805,5723.230422
correct_answer ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),5622.651986,5655.622758
correct_answer ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type),5612.271499,5645.242271
correct_answer ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|shown_letter:TMS_Type),5623.245476,5656.216247
correct_answer ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),5613.717417,5653.282343
correct_answer ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),5624.474798,5664.039724
correct_answer ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),5613.622568,5653.187494
correct_answer ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),5615.083622,5661.242701
correct_answer ~ session + (1|participant_id),5603.742862,5623.525325
correct_answer ~ session + (1|shown_letter),5677.099033,5696.881496
correct_answer ~ session + (1|participant_id) + (1|shown_letter),5603.228748,5629.605365
correct_answer ~ session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),5604.424661,5637.395432
correct_answer ~ problem_order + (1|participant_id),5621.854774,5641.637237
correct_answer ~ problem_order + (1|shown_letter),5694.506622,5714.289084
correct_answer ~ problem_order + (1|participant_id) + (1|shown_letter),5620.943010,5647.319627
correct_answer ~ problem_order + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),5622.156803,5655.127574
correct_answer ~ problem_set + (1|participant_id),5619.149246,5638.931708
correct_answer ~ problem_set + (1|shown_letter),5691.485123,5711.267585
correct_answer ~ problem_set + (1|participant_id) + (1|shown_letter),5618.281893,5644.658510
correct_answer ~ problem_set + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),5619.533355,5652.504127
correct_answer ~ pain + (1|participant_id),5621.996309,5641.778771
correct_answer ~ pain + (1|shown_letter),5690.149760,5709.932223
correct_answer ~ pain + (1|participant_id) + (1|shown_letter),5621.064511,5647.441128
correct_answer ~ pain + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),5622.276571,5655.247342
correct_answer ~ physical_symptoms + (1|participant_id),5620.870037,5640.652500
correct_answer ~ physical_symptoms + (1|shown_letter),5691.217313,5710.999775
correct_answer ~ physical_symptoms + (1|participant_id) + (1|shown_letter),5619.992693,5646.369310
correct_answer ~ physical_symptoms + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),5621.221526,5654.192298
correct_answer ~ discomfort + (1|participant_id),5621.244404,5641.026867
correct_answer ~ discomfort + (1|shown_letter),5685.191170,5704.973633
correct_answer ~ discomfort + (1|participant_id) + (1|shown_letter),5620.284521,5646.661138
correct_answer ~ discomfort + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),5621.503096,5654.473867
correct_answer ~ sensations + (1|participant_id),5622.184451,5641.966914
correct_answer ~ sensations + (1|shown_letter),5695.002522,5714.784985
correct_answer ~ sensations + (1|participant_id) + (1|shown_letter),5621.288318,5647.664935
correct_answer ~ sensations + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),5622.482507,5655.453278
correct_answer ~ TMS_Type + session + (1|participant_id),5605.619981,5631.996598
