short_2,Write a function addOne that adds 1 to its integer reference parameter. The function returns nothing.,addOne (int& x) {\n,\n}
short_4,"Complete the for loop such that it prints the odd integers 11 through 121 inclusive, separated by spaces.",for (int i = 11; i <= 121; ,") {\n    cout << i << "" "" ;\n}"
short_6,"Write a for loop that prints the integers 1 through 40, separated by spaces or new lines. You may use only one variable, count which has already been declared as an integer.",for (,") {\n    cout << count << \"" "";\n    }"
short_8,"Given an int variable k that has already been declared, use a  for loop to print a single line consisting of 97 asterisks. Use no variables other than k.",for (,"){\n    cout << \""*"";\n    }"
short_10,"Using one expression, complete the function notDivisibleByThree that returns false if x is divisible by three, and true otherwise,",bool notDivisibleByThree(int x){\n    return ,;}
short_12,"Complete the if/else statement such that it assigns true to the variable fever if the variable temperature is greater than 98.6; otherwise it assigns false to fever."",",if (temperature > 98.6) {\n    ,\n    } else {\n        fever = false;}
short_14,"Given two 3x5 2D arrays of integer, x1 and x2, write the code needed to copy every value from x1 to its corresponding element in x2."",",for(int i = 0; i < 3; i++){\n    for(int j = 0; j < 5; j++){\n        ,\n        }\n    }
short_16,"Complete the switch statement to output \""Moo!\"" when the value of animal is \""cow\"""",","switch(animal) {\n    case ""pig"":\n        cout << ""Oink!"" << endl;\n        break;\n    case ""hen"":\n        cout << ""Cluck!"" << endl;\n        break;\n    ",\n}
short_18,"Complete the function isPalindrome that checks if a given string is a palindrome. A palindrome is a word that is spelled the same backwards such as ""mom"" (w3resource)",bool isPalindrome(string str) {\n    int left = 0\n    int right = ,;\n    while (left < right) {\n        if (str[left++] != str[right--]) {\n            return false;\n        }\n    }\n    return true;\n}
short_20,Complete a C++ program to calculate x raised to the power y (x^y).\nSample Input: x = 7.0\ny = 2\nSample Output: 49,"int power(int x, int y) {\n  if (y == 0) {\n    return 1;\n  } else if (y == 1) {\n    return x;\n  }\n  \n  int tmp = power(",);\n  tmp = tmp * tmp;\n  if (y % 2 == 1) {\n    return x * tmp;\n  } else {\n    return tmp;\n  }\n}\n
short_22,"Complete a function ""reverseString"" where the output returns string s reversed ",string reverseString(const string &str) {\n    string reversedStr;\n    for (int i = 0; i < str.length(); ++i) {\n        reversedStr += str[,];\n    }\n    return reversedStr;\n}
short_24,"Complete the function ""triangle"" so that the output looks like a triangle made up of value of ""*""\ninput: 5  Output: FIXME",void triangle(int value) {\n    for (int i = value; i > 0; i--) {\n        for (,) {\n            cout << '*';\n        }\n        cout << endl;\n    }\n    return;\n}
