formula,AIC,BIC
log(duration) ~ (1|participant_id),278.389457,286.874398
log(duration) ~ (1|problem_id),226.453811,234.938752
log(duration) ~ (1|participant_id) + (1|problem_id),177.324852,188.638107
log(duration) ~ TMS_Type + (1|participant_id),280.388039,291.701294
log(duration) ~ TMS_Type + (1|problem_id),226.964501,238.277756
log(duration) ~ TMS_Type + (1|participant_id) + (1|problem_id),177.854768,191.996336
log(duration) ~ TMS_Type + (1|participant_id) + (1|participant_id:TMS_Type),282.388039,296.529607
log(duration) ~ TMS_Type + (1|problem_id) + (1|problem_id:TMS_Type),228.964501,243.106070
log(duration) ~ TMS_Type + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),179.854768,196.824650
log(duration) ~ TMS_Type + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),179.854768,196.824650
log(duration) ~ TMS_Type + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),181.854768,201.652964
log(duration) ~ session + (1|participant_id),279.283855,290.597110
log(duration) ~ session + (1|problem_id),225.439548,236.752803
log(duration) ~ session + (1|participant_id) + (1|problem_id),169.098644,183.240213
log(duration) ~ coding_section_no + (1|participant_id),279.788737,291.101992
log(duration) ~ coding_section_no + (1|problem_id),228.427998,239.741253
log(duration) ~ coding_section_no + (1|participant_id) + (1|problem_id),179.324416,193.465985
log(duration) ~ problem_order + (1|participant_id),278.962749,290.276004
log(duration) ~ problem_order + (1|problem_id),228.354276,239.667531
log(duration) ~ problem_order + (1|participant_id) + (1|problem_id),178.370172,192.511741
log(duration) ~ problem_set + (1|participant_id),278.942353,290.255608
log(duration) ~ problem_set + (1|problem_id),227.343237,238.656492
log(duration) ~ problem_set + (1|participant_id) + (1|problem_id),179.314431,193.456000
log(duration) ~ pain + (1|participant_id),279.585154,290.898409
log(duration) ~ pain + (1|problem_id),227.443249,238.756504
log(duration) ~ pain + (1|participant_id) + (1|problem_id),179.296496,193.438065
log(duration) ~ physical_symptoms + (1|participant_id),279.910111,291.223366
log(duration) ~ physical_symptoms + (1|problem_id),228.180590,239.493845
log(duration) ~ physical_symptoms + (1|participant_id) + (1|problem_id),178.187525,192.329093
log(duration) ~ discomfort + (1|participant_id),280.235712,291.548967
log(duration) ~ discomfort + (1|problem_id),228.382318,239.695573
log(duration) ~ discomfort + (1|participant_id) + (1|problem_id),178.223687,192.365256
log(duration) ~ sensations + (1|participant_id),280.389152,291.702407
log(duration) ~ sensations + (1|problem_id),225.899928,237.213183
log(duration) ~ sensations + (1|participant_id) + (1|problem_id),179.232339,193.373908
log(duration) ~ TMS_Type + session + (1|participant_id),281.282611,295.424179
log(duration) ~ TMS_Type + session + (1|problem_id),226.186654,240.328222
log(duration) ~ TMS_Type + session + (1|participant_id) + (1|problem_id),169.884292,186.854174
log(duration) ~ TMS_Type + session + (1|participant_id) + (1|participant_id:TMS_Type),283.282611,300.252493
log(duration) ~ TMS_Type + session + (1|problem_id) + (1|problem_id:TMS_Type),228.186654,245.156536
log(duration) ~ TMS_Type + session + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),171.884292,191.682488
log(duration) ~ TMS_Type + session + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),171.884292,191.682488
log(duration) ~ TMS_Type + session + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),173.884292,196.510801
log(duration) ~ TMS_Type + coding_section_no + (1|participant_id),281.787205,295.928774
log(duration) ~ TMS_Type + coding_section_no + (1|problem_id),228.932439,243.074008
log(duration) ~ TMS_Type + coding_section_no + (1|participant_id) + (1|problem_id),179.854754,196.824636
log(duration) ~ TMS_Type + coding_section_no + (1|participant_id) + (1|participant_id:TMS_Type),283.787205,300.757088
log(duration) ~ TMS_Type + coding_section_no + (1|problem_id) + (1|problem_id:TMS_Type),230.932439,247.902321
log(duration) ~ TMS_Type + coding_section_no + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),181.854754,201.652950
log(duration) ~ TMS_Type + coding_section_no + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),181.854754,201.652950
