formula,AIC,BIC
correctness ~ (1|participant_id),429.456773,436.980876
correctness ~ (1|problem_id),357.285503,364.809606
correctness ~ (1|participant_id) + (1|problem_id),353.495967,364.782121
correctness ~ TMS_Type + (1|participant_id),430.407800,441.693954
correctness ~ TMS_Type + (1|problem_id),358.077176,369.363330
correctness ~ TMS_Type + (1|participant_id) + (1|problem_id),354.188751,369.236956
correctness ~ TMS_Type + (1|participant_id) + (1|participant_id:TMS_Type),432.407800,447.456005
correctness ~ TMS_Type + (1|problem_id) + (1|problem_id:TMS_Type),360.077176,375.125381
correctness ~ TMS_Type + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),355.166029,373.976286
correctness ~ TMS_Type + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),356.188747,374.999004
correctness ~ TMS_Type + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),357.166021,379.738329
correctness ~ session + (1|participant_id),430.313183,441.599337
correctness ~ session + (1|problem_id),357.729766,369.015920
correctness ~ session + (1|participant_id) + (1|problem_id),353.990362,369.038568
correctness ~ coding_section_no + (1|participant_id),427.301489,438.587644
correctness ~ coding_section_no + (1|problem_id),358.103585,369.389739
correctness ~ coding_section_no + (1|participant_id) + (1|problem_id),354.185304,369.233510
correctness ~ problem_order + (1|participant_id),431.298211,442.584365
correctness ~ problem_order + (1|problem_id),359.284578,370.570732
correctness ~ problem_order + (1|participant_id) + (1|problem_id),355.484693,370.532898
correctness ~ problem_set + (1|participant_id),430.439241,441.725395
correctness ~ problem_set + (1|problem_id),359.014327,370.300481
correctness ~ problem_set + (1|participant_id) + (1|problem_id),355.496188,370.544393
correctness ~ pain + (1|participant_id),431.432238,442.718393
correctness ~ pain + (1|problem_id),359.098541,370.384695
correctness ~ pain + (1|participant_id) + (1|problem_id),355.327133,370.375339
correctness ~ physical_symptoms + (1|participant_id),430.643150,441.929304
correctness ~ physical_symptoms + (1|problem_id),357.660320,368.946474
correctness ~ physical_symptoms + (1|participant_id) + (1|problem_id),355.014859,370.063064
correctness ~ discomfort + (1|participant_id),431.406669,442.692823
correctness ~ discomfort + (1|problem_id),359.246434,370.532588
correctness ~ discomfort + (1|participant_id) + (1|problem_id),355.487192,370.535398
correctness ~ sensations + (1|participant_id),428.433523,439.719677
correctness ~ sensations + (1|problem_id),355.874623,367.160777
correctness ~ sensations + (1|participant_id) + (1|problem_id),351.760429,366.808634
correctness ~ TMS_Type + session + (1|participant_id),431.240701,446.288906
correctness ~ TMS_Type + session + (1|problem_id),358.455738,373.503943
correctness ~ TMS_Type + session + (1|participant_id) + (1|problem_id),354.674126,373.484383
correctness ~ TMS_Type + session + (1|participant_id) + (1|participant_id:TMS_Type),433.240701,452.050958
