formula,AIC,BIC
log(duration) ~ (1|participant_id),608.095656,619.819905
log(duration) ~ (1|problem_id),598.728336,610.452584
log(duration) ~ (1|participant_id) + (1|problem_id),424.210741,439.843072
log(duration) ~ TMS_Type + (1|participant_id),609.886357,625.518689
log(duration) ~ TMS_Type + (1|problem_id),599.944354,615.576686
log(duration) ~ TMS_Type + (1|participant_id) + (1|problem_id),426.054405,445.594820
log(duration) ~ TMS_Type + (1|participant_id) + (1|participant_id:TMS_Type),610.669562,630.209977
log(duration) ~ TMS_Type + (1|problem_id) + (1|problem_id:TMS_Type),601.922903,621.463318
log(duration) ~ TMS_Type + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),428.025776,451.474274
log(duration) ~ TMS_Type + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),428.054405,451.502903
log(duration) ~ TMS_Type + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),430.025776,457.382357
log(duration) ~ session + (1|participant_id),607.761764,623.394096
log(duration) ~ session + (1|problem_id),596.870585,612.502917
log(duration) ~ session + (1|participant_id) + (1|problem_id),417.292477,436.832892
log(duration) ~ coding_section_no + (1|participant_id),609.696904,625.329235
log(duration) ~ coding_section_no + (1|problem_id),596.664020,612.296352
log(duration) ~ coding_section_no + (1|participant_id) + (1|problem_id),418.589579,438.129994
log(duration) ~ problem_order + (1|participant_id),609.566483,625.198815
log(duration) ~ problem_order + (1|problem_id),600.699733,616.332064
log(duration) ~ problem_order + (1|participant_id) + (1|problem_id),426.204243,445.744658
log(duration) ~ problem_set + (1|participant_id),591.751427,607.383759
log(duration) ~ problem_set + (1|problem_id),600.328198,615.960530
log(duration) ~ problem_set + (1|participant_id) + (1|problem_id),425.328969,444.869384
log(duration) ~ pain + (1|participant_id),607.570564,623.202896
log(duration) ~ pain + (1|problem_id),600.718309,616.350641
log(duration) ~ pain + (1|participant_id) + (1|problem_id),426.163413,445.703828
log(duration) ~ physical_symptoms + (1|participant_id),609.852048,625.484380
log(duration) ~ physical_symptoms + (1|problem_id),600.477432,616.109764
