formula,AIC,BIC
(correct_answer) ~ (1|participant_id),1145.453235,1158.641544
(correct_answer) ~ (1|shown_letter),1147.148869,1160.337177
(correct_answer) ~ (1|participant_id) + (1|shown_letter),1147.156153,1166.938616
(correct_answer) ~ (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),1149.156153,1175.532770
(correct_answer) ~ TMS_Type + (1|participant_id),1147.444624,1167.227087
(correct_answer) ~ TMS_Type + (1|shown_letter),1149.140438,1168.922901
(correct_answer) ~ TMS_Type + (1|participant_id) + (1|shown_letter),1149.147476,1175.524093
(correct_answer) ~ TMS_Type + (1|participant_id) + (1|participant_id:TMS_Type),1149.142534,1175.519151
(correct_answer) ~ TMS_Type + (1|shown_letter) + (1|shown_letter:TMS_Type),1150.676873,1177.053490
(correct_answer) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),1151.147476,1184.118247
(correct_answer) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type),1150.839851,1183.810623
(correct_answer) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|shown_letter:TMS_Type),1150.743311,1183.714082
(correct_answer) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),1152.839850,1192.404776
(correct_answer) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),1152.731097,1192.296022
(correct_answer) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),1152.329007,1191.893932
(correct_answer) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),1154.305835,1200.464915
(correct_answer) ~ session + (1|participant_id),1147.237902,1167.020365
(correct_answer) ~ session + (1|shown_letter),1148.934617,1168.717080
(correct_answer) ~ session + (1|participant_id) + (1|shown_letter),1148.940145,1175.316762
(correct_answer) ~ session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),1150.940144,1183.910915
(correct_answer) ~ problem_order + (1|participant_id),1147.452654,1167.235116
