participant_id,age,gender,background,background_2,english_speaker,occupation,current_school_year,disability,disability_2,programming_exp
REDACTED,18,Man,Asian or Pacific Islander,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,1 year - 2 years
REDACTED,18,Man,Asian or Pacific Islander,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,1 year - 2 years
REDACTED,18,Man,White or Caucasian,REDACTED,Yes,REDACTED,REDACTED,"No, but I believe I may have a learning disability",REDACTED,5+ years
REDACTED,19,Man,Asian or Pacific Islander,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,2 years - 3 years
REDACTED,19,Woman,Multiracial or Biracial,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,2 years - 3 years
REDACTED,19,Man,Asian or Pacific Islander,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,3 years - 4 years
REDACTED,20,Woman,Asian or Pacific Islander,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,1 year - 2 years
REDACTED,20,Man,White or Caucasian,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,2 years - 3 years
REDACTED,20,Man,Asian or Pacific Islander,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,2 years - 3 years
REDACTED,20,Woman,White or Caucasian,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,2 years - 3 years
REDACTED,20,Woman,Asian or Pacific Islander,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,2 years - 3 years
REDACTED,20,Woman,Hispanic or Latino,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,2 years - 3 years
REDACTED,20,Man,White or Caucasian,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,3 years - 4 years
REDACTED,20,Woman,White or Caucasian,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,3 years - 4 years
REDACTED,20,Man,White or Caucasian,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,4 years - 5 years
REDACTED,20,Woman,Asian or Pacific Islander,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,4 years - 5 years
REDACTED,20,Man,Asian or Pacific Islander,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,5+ years
REDACTED,20,Man,White or Caucasian,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,5+ years
REDACTED,20,Man,White or Caucasian,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,5+ years
REDACTED,20,Woman,Asian or Pacific Islander,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,5+ years
REDACTED,21,Woman,Asian or Pacific Islander,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,2 years - 3 years
REDACTED,21,Man,Asian or Pacific Islander,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,3 years - 4 years
REDACTED,21,Woman,Asian or Pacific Islander,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,3 years - 4 years
REDACTED,22,Man,White or Caucasian,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,3 years - 4 years
REDACTED,22,Woman,Hispanic or Latino,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,3 years - 4 years
REDACTED,22,Woman,White or Caucasian,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,3 years - 4 years
REDACTED,24,Man,Prefer to self describe,REDACTED,Yes,REDACTED,REDACTED,"No, I don't have a learning disability",REDACTED,5+ years
